Name of card,cost,type,description,Card Status,supply,Starting/Supply,"Product (base, stretch, exp)",art status,Image,sync,pos/neg,HP,Playtest Version,@background,@startingicon,@art,cardnum,Flavor Text,Image2
Molten Hammer,5,Relic,Gain 1 charge. You may destroy a card in hand or on top of any player's discard pile.,x,5,Supply,Stretch-Exp,,U,1.15,,,1,/links/relicbackground.eps,,,N05,"""Some tools are meant for making, while others hold a more pernicious task.""  Mist, breach mage dagger captain",U
Temporal Helix,7,Relic,Cast any player's prepped spell without discarding it.,x,5,Supply,Stretch-Exp,prep,S,1.03,,,2,/links/relicbackground.eps,,,N06,"""Breach mages are never truly in possession of their own minds. They share a splinter of it with their fellows and a shard with The Nameless."" Brama, breach mage elder",S
Spark,0,Spell,Cast: Deal 1 damage.,x,14,Starting,Base,finished,Spark,1,,,all,/links/spellbackground.eps,/links/starting card icon.ai,,2,"""A spark is all that is necessary to rouse the flame."" Malastar, breach mage mentor",Spark
Buried Light,0,Spell,Cast: Deal 1 damage. Gain 1 $.,x,1,Starting,Base,finished,Cinder,1,,,1,/links/spellbackground.eps,/links/starting card icon.ai,,8,"Brama is the only high elder left among us, more ancient than any still breathing. Hers is a fire that burns bright and with a single purpose: to deliver us back to The World That Was, no matter what cost.",Cinder
Cinder,0,Spell,Cast: Deal 1 damage. OR Cast: Gain 2 $.,x,1,Starting,Expansion,finished,Immolate,1.19,,,2,/links/spellbackground.eps,/links/starting card icon.ai,,D01,"Nym is Malastar's most gifted and reckless apprentice. Brama has said it is as if the boy were born without a sense of fear, but perhaps fear is a virtue we need to learn.",Immolate
Eternal Ember,0,Spell,Cast: Deal 1 damage. OR Cast: Cast one of your prepped spells without discarding it.,x,1,Starting,Expansion,prep,Ember,1.03,,,2,/links/spellbackground.eps,/links/starting card icon.ai,,D02,"Z'hana is one of three survivors from the fires that took the Far Hollow hovels. There is an anger within her that makes her dangerous, unpredictable. If not for Brama's constant intercession, likely she would have met the gallows long ago.",Ember
Flare,0,Spell,"Cast: Reveal the top card of the turn order deck, and then place it back on top of the turn order deck. If you revealed a player turn order card, deal 3 damage. Otherwise, deal 1 damage.",x,1,Starting,Base,prep,Scorch,1.02,,,1,/links/spellbackground.eps,/links/starting card icon.ai,,N01,"The other mages do not fully trust Xaxos, for there is a darkness they perceive in his words. He speaks of how we of Gravehold must become like The Nameless in order to truly know their weaknesses.",Scorch
Immolate,0,Spell,"While prepped, whenever you suffer damage gain 1 charge. Cast: Deal 1 damage.",x,1,Starting,Stretch-Exp,prep,Pyre,1.03,,,2,/links/spellbackground.eps,/links/starting card icon.ai,,N02,Malastar has taught many a mage how to wield the breach. His charge is two-fold: to guide his former students as needed and to train the younglings that will fight for Gravehold when the others fall.,Pyre
Phoenix Flame,3,Spell,Cast: Deal 2 damage. You may lose 1 charge to deal 2 additional damage.,x,5,Supply,Base,finished,V,1.04,,,1,/links/spellbackground.eps,,,32,"""In The World That Was, there were great birds, born of fire and ash. They were thought to be immortal, and yet none now remain."" Malastar, breach mage mentor",V
Spectral Echo,3,Spell,Cast: Deal 2 damage. You may destroy a card in hand.,x,5,Supply,Base,finished,W,1.12,,,2,/links/spellbackground.eps,,,34,"""Clear your mind, child. Drink in the void."" Xaxos, breach mage adept",W
Amplify Vision,4,Spell,"Cast: Focus your closed breach with the lowest focus cost. Deal 2 damage. If all of your breaches are opened, deal 1 additional damage.",x,5,Supply,Base,finished,AmplifyVision,1.24,,,1,/links/spellbackground.eps,,,22,"""The breaches are merely a mirror through which worlds whisper."" Phaedraxa, breach mage seer",AmplifyVision
Ignite,4,Spell,Cast: Deal 2 damage. Any ally gains 1 charge.,x,5,Supply,Base,prep,Y,1.03,,,2,/links/spellbackground.eps,,,29,"""We are but one flickering flame against unimaginable dark."" Kadir, breach mage delver",Y
Lava Tendril,4,Spell,"While prepped, at the end of your casting phase deal 1 damage. Cast: Deal 3 damage.",x,5,Supply,Base,finished,AshenScythe,1,,,2,/links/spellbackground.eps,,,30,"""My turn!"" Nym, breach apprentice",AshenScythe
Void Bond,4,Spell,Cast: Deal 3 damage. You may cast any player's prepped spell.,x,5,Supply,Expansion,finished,AA,1.05,,,1,/links/spellbackground.eps,,,D08,"""We share the same fire, we and The Nameless."" Xaxos, breach mage adept",AA
Blaze,4,Spell,"When you gain this, you may place it on top of any player's discard pile. Cast: Deal 2 damage. Deal 1 additional damage for each other Blaze you have cast this turn or currently have prepped.",x,5,Supply,Stretch-Exp,prep,X,1,,,1,/links/spellbackground.eps,,,N07,n/a,X
Dark Fire,5,Spell,Cast: Discard up to two cards in hand. Deal 3 damage for each card discarded this way.,x,5,Supply,Base,prep,CC,1,,,1,/links/spellbackground.eps,,,26,"""Xaxos always says, to come back to light, we must first visit the shadow."" Malastar, breach mage mentor",CC
Essence Theft,5,Spell,"Cast: Deal 3 damage. You may discard a card in hand. If you do, any player gains 1 life.",x,5,Supply,Base,prep,Z,1.03,,,2,/links/spellbackground.eps,,,27,"""In the hovels, there is talk of the seeming link between the breach mages and our adversaries. More and more, the difference between the two becomes harder to see."" Ohat, dirt merchant",Z
Feral Lightning,5,Spell,This spell may be prepped to a closed breach without focusing or opening it. Cast: Deal 3 damage.,x,5,Supply,Base,,FeralLightning,1.19,,,2,/links/spellbackground.eps,,,28,"""All things can be tamed."" Lash, breach mage scout",FeralLightning
Oblivion Swell,5,Spell,"While prepped, once per turn during your main phase you may gain 1 $. Cast: Deal 2 damage. You may discard a gem. If you do, deal additional damage equal to its cost.",x,5,Supply,Base,,BottomlessChest,1.03,,,2,/links/spellbackground.eps,,,31,Many folk have made their fortune harvesting gems. The very breaches through which The Nameless come bestow the stones with strange properties.,BottomlessChest
Combustion,5,Spell,Cast: Deal 2 damage to a minion. Deal 2 damage to a different minion or the nemesis. (Effects that modify damage affect both instances of damage this spell deals.),x,5,Supply,Expansion,,,1.05,,,,/links/spellbackground.eps,,,D07,,
Chaos Arc,6,Spell,Cast: Deal 3 damage. Deal 2 additional damage for each prepped spell in an adjacent breach.,x,5,Supply,Base,finished,WolfsHowl,1.03,,,1,/links/spellbackground.eps,,,24,"""Even the blind can see what little is left of our world."" Phaedraxa, breach mage seer",WolfsHowl
Planar Insight,6,Spell,Cast: Deal 2 damage. Deal 1 additional damage for each of your opened breaches.,x,5,Supply,Base,finished,IntellectsCharm,1.08,,,1,/links/spellbackground.eps,,,33,"""She may no longer speak, but she sees much."" Brama, breach mage elder",IntellectsCharm
Wildfire Whip,6,Spell,"While prepped, during your main phase you may spend 2 $ to cast any player's prepped spell. Cast: Deal 4 damage",x,5,Supply,Base,prep,Haste,1.03,,,1,/links/spellbackground.eps,,,35,"""Sometimes a little motivation is needed for dire situations."" Z'hana, breach mage renegade",Haste
Devouring Shadow,6,Spell,"While prepped, once per turn during your main phase you may destroy a card in hand. Cast: Deal 3 damage.",x,5,Supply,Expansion,prep,HungryGolem,1,,,2,/links/spellbackground.eps,,,D09,"""To thrive, everything must eat. Even shadows."" Malastar, breach mage mentor",HungryGolem
Scrying Bolt,6,Spell,"Cast: Deal 5 damage. You may lose 1 charge. If you do, reveal the top two cards of the nemesis deck. Return them in any order.",x,5,Supply,Stretch-Exp,,EE,1.27,,,2,/links/spellbackground.eps,,,N10,"""Who would've thought you could see the future so clearly at the end of a bolt of aether."" Reeve, breach mage elite",EE
Arcane Nexus,7,Spell,"While prepped, once per turn during your main phase you may return a gem you played this turn to your hand. Cast: Deal 4 damage.",x,5,Supply,Base,finished,FF,1.03,,,2,/links/spellbackground.eps,,,23,"""The taint of aether clings to everything in Gravehold. And we that survived near-extinction reek with it, too."" Nerva, survivor",FF
Consuming Void,7,Spell,Cast: Destroy up to two cards in hand. Deal 3 damage for each card destroyed in this way.,x,5,Supply,Base,,ConsumingVoid,1.04,,,1,/links/spellbackground.eps,,,25,"""The Far Hollow hovels still smolder from the last time a mage lost his wits and will to the void."" Ghan, gem scavenger",ConsumingVoid
Disintegrating Scythe,7,Spell,"Cast: Deal 8 damage. Suffer 1 damage. Instead of discarding this, destroy it or place it on top of any player's discard pile.",x,5,Supply,Expansion,,GG,1.12,,,2,/links/spellbackground.eps,,,D10,"""Being struck by lightning would only be half as bad."" Lash, breach mage scout",GG
Sage's Brand,7,Spell,"This spell must be prepped to two adjacent breaches so that this card touches both breaches. This fully occupies both breaches. While prepped, draw an additional card during your draw phase. Cast: Deal 6 damage.",x,5,Supply,Stretch-Exp,,SagesBrand,1.03,,,1,/links/spellbackground.eps,,,N09,"""The mark of the void lay beneath our skin, not upon it."" Xaxos, breach mage adept",SagesBrand
Monstrous Inferno,8,Spell,This spell must be prepped to two adjacent breaches so that this card touches both breaches. This fully occupies both breaches. Cast: Deal 7 damage divided however you choose to the nemesis and any number of minions.,x,5,Supply,Expansion,finished,MonstrousInferno,1.03,,,1,/links/spellbackground.eps,,,D11,"""There is a certain serenity to becoming flame. Then they can barely hear the voidspawn as it turns them to coals."" Z'hana, breach mage renegade",MonstrousInferno
Radiance,8,Spell,Cast: Deal 5 damage. Each ally draws a card.,x,5,Supply,Stretch-Exp,,HH,1.04,,,2,/links/spellbackground.eps,,,N08,"""All of us, together. For apart we are doomed."" Brama, breach mage elder",HH
